,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,128.118, 2:08.118,239.755,166.017,2336
1,2.0,93.434, 1:33.434,239.485,163.424,2373
2,3.0,94.902, 1:34.902,240.145,167.196,2313
3,4.0,92.538, 1:32.538,239.875,166.39,2326
4,5.0,93.018, 1:33.018,241.215,167.612,2306
5,6.0,92.268, 1:32.268,241.615,166.912,2320
6,7.0,92.776, 1:32.776,239.965,167.957,2298
7,8.0,91.95, 1:31.950,240.165,159.972,2421
8,9.0,96.808, 1:36.808,240.555,167.225,2314
9,10.0,92.578, 1:32.578,240.845,167.528,2309
10,11.0,92.346, 1:32.346,238.285,151.781,2514
11,12.0,100.58, 1:40.580,80.705,67.432,128
