,LapCount,LapTime,LapTimeStr,speed_max,speed_avg,steps
0,1.0,127.106, 2:07.106,240.605,168.001,2298
1,2.0,91.928, 1:31.928,241.15,168.242,2296
2,3.0,91.844, 1:31.844,239.97,168.063,2298
3,4.0,91.932, 1:31.932,241.41,168.712,2291
4,5.0,91.602, 1:31.602,241.015,168.535,2291
5,6.0,91.656, 1:31.656,241.47,168.477,2292
6,7.0,91.696, 1:31.696,241.125,167.49,2313
7,8.0,92.508, 1:32.508,240.775,169.071,2285
8,9.0,91.39, 1:31.390,241.485,168.5,2292
9,10.0,91.688, 1:31.688,239.405,153.397,2525
10,11.0,101.004, 1:41.004,240.415,152.376,2500
11,12.0,99.978, 1:39.978,80.345,66.451,129
